10593|15|3|304661006|SNOMED-CT|t|Unable to use arithmetic reasoning
10353|15|3|225039003|SNOMED-CT|t|Mixes past with present
10113|15|3|32541007|SNOMED-CT|t|Paramnesia
9873|14|3|286381004|SNOMED-CT|t|Unable to find words
9633|14|3|715115001|SNOMED-CT|t|Does transfer from car to wheelchair
9393|14|3|285437004|SNOMED-CT|t|Unable to perform oral motor functions
9153|14|3|282909006|SNOMED-CT|t|Does rise from squatting without using hands
8913|14|3|364936003|SNOMED-CT|t|Finding related to ability to control posture
8673|14|3|286350008|SNOMED-CT|t|Able to imitate vocalization
8433|14|3|722180005|SNOMED-CT|t|Dependent for standing
8193|14|3|301601005|SNOMED-CT|t|Unable to manage stairs on bottom
7953|14|3|285054003|SNOMED-CT|t|Unable to use hearing aid
7713|14|3|288331003|SNOMED-CT|t|Able to lift
7473|14|3|286445001|SNOMED-CT|t|Difficulty obtaining food
7233|14|3|365261004|SNOMED-CT|t|Finding related to ability to cook food
6993|14|3|300642000|SNOMED-CT|t|Does ride a motorbike
6753|14|3|250009009|SNOMED-CT|t|Prosthetic limb gait
6513|14|3|300773005|SNOMED-CT|t|Ability to play
6273|14|3|404982001|SNOMED-CT|t|Ability to administer non-parenteral medication
6033|14|3|129816001|SNOMED-CT|t|Instrumental activity of daily living (IADLs) alteration
5793|9|6|59020|CPT|t|Fetal contraction stress test
5553|9|3|240289007|SNOMED-CT|t|Percutaneous aspiration of fetal lesion (procedure)
5313|4|8|69084-2|LOINC|t|Chest vessels CT angiogram WO contrast
5073|4|8|44182-4|LOINC|t|Hand X-ray 2 views portable
4833|4|8|39517-8|LOINC|t|Shoulder X-ray Stryker Notch and West Point
4593|4|8|38119-4|LOINC|t|Thoracic artery Fluoroscopic angiogram W contrast IA
4353|4|8|37756-4|LOINC|t|Knee - right X-ray tunnel standing
4113|4|8|37481-9|LOINC|t|Spine Cervical and Spine Thoracic X-ray
3873|4|8|37042-9|LOINC|t|Knee - left X-ray tunnel
3633|4|8|36669-0|LOINC|t|Spine Cervical X-ray 2 views
3393|4|8|35894-5|LOINC|t|Fluoroscopy Guidance for biopsy of Chest
3153|4|8|30763-7|LOINC|t|Abdomen X-ray AP and lateral crosstable portable
2913|4|8|26073-7|LOINC|t|Knee - bilateral Fluoroscopy W contrast intraarticular
2673|4|8|24573-8|LOINC|t|Biliary ducts and Gallbladder X-ray W contrast IV
2433|4|8|11907-3|LOINC|t|Gestational age estimated from Biparietal diameter by method of Sabbagha 1978 (US)
2193|9|6|90660|CPT|t|Influenza virus vaccine, trivalent, live, for intranasal use
1953|4|8|8809-6|LOINC|t|Left ventricular Ejection fraction by Cardiac angiogram.visual estimate
1713|9||||f|Radical mastectomy including pectoral muscles and axillary lymph nodes (procedure)
1473|4||||f|Breast - bilateral Mammogram diagnostic
1233|7||||f|Referral to service (procedure)
993|9|6|45332|CPT|t|Sigmoidoscopy, flexible; with removal of foreign body
753|7|6|43773|CPT|t|Laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device component only
513|7|3|183911009|SNOMED-CT|t|Private referral to radiotherapist (procedure)
273|5|6|92547|CPT|t|Use of vertical electrodes (List separately in addition to code for primary procedure)
33|4|8|30797-5|LOINC|t|Spine Lumbar X-ray 5 views
10469|15|3|247872008|SNOMED-CT|t|Obsessional thoughts of harm occurring to property
10229|15|3|55956009|SNOMED-CT|t|Disturbance in content of thought
9989|15|3|285228001|SNOMED-CT|t|Unable to remember faces
9749|14|3|248080002|SNOMED-CT|t|Not aware of danger from hot lamp
9509|14|3|302006002|SNOMED-CT|t|Unable to oppose thumb
9269|14|3|282490007|SNOMED-CT|t|Does not run up a slope
9029|14|3|715028005|SNOMED-CT|t|Difficulty walking in room
8789|14|3|301507004|SNOMED-CT|t|Difficulty getting in and out of shower
8549|14|3|282950003|SNOMED-CT|t|Does bend to reach feet
8309|14|3|301729002|SNOMED-CT|t|Difficulty performing laboring activities
8069|14|3|284964004|SNOMED-CT|t|Does maintain standard of personal hygiene
7829|14|3|129040008|SNOMED-CT|t|Bathing assisted
7589|14|3|288408004|SNOMED-CT|t|Does screw on a lid
7349|14|3|286164000|SNOMED-CT|t|Difficulty cleaning washbasin
7109|14|3|300726004|SNOMED-CT|t|Unable to perform telephone activities
6869|14|3|300720005|SNOMED-CT|t|Unable to perform shopping activities
6629|14|3|364819005|SNOMED-CT|t|Finding related to ability to feed self with right hand
6389|14|3|285934001|SNOMED-CT|t|Ability to empty washbasin
6149|14|3|163684001|SNOMED-CT|t|O/E - gait normal
5909|7|3|409821005|SNOMED-CT|t|OAB Timed voiding
5669|9|3|434741000124104|SNOMED-CT|t|Rotavirus vaccination, 2 dose schedule (procedure)
